SUMMARY STATISTICS FOR: NoviSadPrecOBS.dat

Analysis Start Date: 01/01/1961 
Analysis End Date: 31/12/1990 
-
Month,Mean,Maximum,Minimum,Variance,Sum
-
January, 1.15874524714829 , 29.2 , 0 , 9.61706230392233 , 35.8529411764706 
February, 1.260625 , 36.3 , 0 , 10.4831787760416 , 35.5941176470588 
March, 1.03984819734345 , 30 , 0 , 8.29389599213627 , 32.2352941176471 
April, 1.49647058823529 , 35.2 , 0 , 13.3826149942329 , 44.8941176470588 
May, 1.67666034155598 , 29.1 , 0 , 15.1642939700211 , 51.9764705882353 
June, 2.60529411764706 , 41.2 , 0 , 36.109520991926 , 78.1588235294118 
July, 2.45635673624289 , 91.6 , 0 , 54.3489112048076 , 76.1470588235294 
August, 1.90493358633776 , 42.9 , 0 , 28.6934101948301 , 59.0529411764706 
September, 1.26960784313726 , 29.4 , 0 , 12.5992920030757 , 38.0882352941177 
October, 1.12485768500949 , 29.3 , 0 , 13.5429684332569 , 34.8705882352941 
November, 1.66294117647059 , 20.4 , 0 , 12.1635089965398 , 49.8882352941176 
December, 1.63282732447818 , 21.9 , 0 , 12.4415219872609 , 50.6176470588235 
Winter, 1.35362035225049 , 36.3 , 0 , 10.9017562994425 , 115.283333333333 
Spring, 1.40332480818414 , 35.2 , 0 , 12.3408073599727 , 129.105882352941 
Summer, 2.31911764705882 , 91.6 , 0 , 39.8473519068763 , 213.358823529412 
Autumn, 1.34996767937944 , 29.4 , 0 , 12.8287831275913 , 122.847058823529 
Annual, 1.60847293814433 , 91.6 , 0 , 19.2073798845755 , 587.376470588237 
